Precio(€),Nombre,Procesador,Ranking Procesador,RAM (GB),Disco duro,Pantalla,Gráfica
599.0,Huawei MateBook D 15,AMD Ryzen 5 3500U,454,8 GB,256GB SSD,"15.6""",
449.99,Lenovo IdeaPad S145-15IWL,Intel Core i3-8145U,912,8 GB,256GB SSD,"15.6""",
479.0,HP 15-DA0215NS,Intel Core i3-7020U,1167,8 GB,512GB SSD,"15.6""",
749.0,Asus VivoBook S14 S433FL-EB008T,Intel Core i5-10210U,513,8 GB,512GB SSD,"14""",MX250
689.0,Asus VivoBook S412FA-EK678T,Intel Core i5-10210U,513,8 GB,512GB SSD,"14""",
841.54,Asus TUF Gaming FX505DT-BQ051,AMD Ryzen 5 3550H,374,8 GB,512 SSD,"15.6""",GTX1650
599.0,HP 15S-FQ1045NS,Intel Core i5-1035G1,396,8 GB,512GB SSD,"15.6""",
859.0,HP Pavilion 15-CS3013NS,Intel Core i7-1065G7,312,8 GB,512GB SSD,"15.6""",GTX 1050
369.0,Lenovo Ideapad 330-15IKB,Intel Core i3-7020U,1167,8 GB,256GB SSD,"15.6""",
246.29,Lenovo V145-15AST,AMD A4-9125,"[[1634, 'AMD A4-9120'], [1447, 'AMD A4-1250']]",4 GB,256 GB SSD,"15.6""",
699.0,Lenovo Ideapad S340-15IIL,Intel Core i5-1035G1,396,8 GB,1TB SSD,"15.6""",
434.0,HP 15-DA0204NS,Intel Core i3-7020U,1167,8 GB,256GB SSD,"15.6""",
599.0,Acer Aspire 3 A315-55G,Intel Core i5-10210U,513,8 GB,256GB,"15.6""",MX230
259.0,Lenovo V130-15IKB,Intel Celeron 3867U,1534,4 GB,128GB SSD,"15.6""",
369.0,HP 15-DB0074NS,AMD A6-9225,1557,8 GB,256GB SSD,"15.6""",
698.99,Asus Zenbook 14 UX431FA-AM132,Intel Core i5-10210U,513,8 GB,512GB SSD,"14""",
599.0,HP 15-DA2017NS,Intel Core i5-10210U,513,8 GB,256GB SSD,"15.6""",MX110
849.0,MSI Alpha 15 A3DDK-070XES,AMD Ryzen 5 3550H,"[[374, 'AMD Ryzen 5 3550H'], [351, 'AMD Ryzen 7 3750H']]",16 GB,512GB SSD,"15.6""",RX 5500M
699.0,Acer Nitro 5 AN515-54-52G3,Intel Core i5-9300H,376,8 GB,256GB SSD,"15.6""",GTX 1050
709.0,HP Notebook 15S-FQ1046NS,Intel Core i7-1065G7,312,8 GB,512GB SSD,"15.6""",
898.99,Asus Zenbook 14 UX431FA-AM128,Intel Core i7-10510U,438,16 GB,512GB SSD,"14""",
1399.0,Asus Rog Strix G731GV-EV132,Intel Core i7-9750H,229,16 GB,1TB SSD,"17.3""",RTX2060
589.0,HP 15S-FQ1044NS,Intel Core i5-1035G1,396,8 GB,256GB SSD,"15.6""",
675.0,HP 17-BY2001NS,Intel Core i5-10210U,513,8 GB,512GB SSD,"17.3""",Radeon 530
476.59,HP Notebook 250 G7,Intel Core i3-7020U,1167,8 GB,256 SSD,"15.6""",
699.0,Lenovo Ideapad S540-15IML,Intel Core i5-10210U,513,8 GB,512GB SSD,"15.6""",
890.99,Lenovo ideapad L340-15IRH Gaming,Intel Core i5-9300H,376,8 GB,512GB SSD,"15.6""",GTX1650
1299.0,Asus ZenBook 14 UX434FAC-A5188T,Intel Core i7-10510U,438,16 GB,512GB SSD,"14""",
299.0,HP 15-DA0171NS,Intel Celeron N4000,1531,4 GB,1TB,"15.6""",
239.0,HP Notebook 255 G7,AMD A4-9125,"[[1634, 'AMD A4-9120'], [1447, 'AMD A4-1250']]",4 GB,1 TB,"15.6""",
435.0,Lenovo V130-14IKB,Intel Core i3-7020U,1167,8 GB,256GB SSD,"14""",
749.0,Lenovo Ideapad S540-14IWL,Intel Core i7-8565,"[[508, 'Intel Core i7-8565U'], [512, 'Intel Core i7-8665U']]",12 GB,512GB SSD,"14""",
