Precio(€),Nombre,Procesador,Ranking Procesador,RAM (GB),Disco duro,Pantalla,Gráfica
1799.0,MSI P65 Creator 9SD-1492ES,Intel Core i7-9750H,229,32 GB,1TB SSD,"15.6""",GTX 1660Ti
482.6,Lenovo Ideapad 330-15ARR,AMD Ryzen 5 2500U,523,8 GB,128GB SSD,"15.6""",
929.0,Gigabyte Aorus 5,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",GTX 1650
489.0,HP 15-DW0051NS,Intel Core i3-8130U,904,8 GB,256GB SSD,"15.6""",MX130
1849.0,Gigabyte AERO 15 OLED XA-7ES5130SD,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",RTX 2070
1299.0,MSI GF63 Thin 9SC-042ES,Intel Core i7-9750H,229,16 GB,1TB + 256GB SSD,"15.6""",GTX 1650
769.0,HP Pavilion 14-CE3003NS,Intel Core i5-1035G1,396,8 GB,512GB SSD,"14""",MX130
319.0,Primux ioxbook Tour 1302F,Intel Celeron N3350,1663,4 GB,120GB SSD + 64GB eMMC,"13.3"" Táctil",
1799.0,MSI GS65 Stealth 9SE-462ES,Intel Core i7-9750H,229,32 GB,1TB SSD,"15.6""",RTX 2060
799.0,HP Pavilion Gaming 15-DK0030NS,Intel Core i5-9300H,376,8 GB,512GB SSD,"15.6""",GTX 1050
1199.0,MSI GF75 Thin 10SCSR-034XES,Intel Core i7-10750H,126,16 GB,1TB SSD,"17.3""",GTX1650
715.84,HP 15-DA2013NS,Intel Core i5-1021U,"[[513, 'Intel Core i5-10210U'], [735, 'Intel Core i5-10210Y']]",8 GB,256GB SSD,"15.6""",MX110
382.78,HP 255 G7,AMD Ryzen 3 2200U,941,8 GB,256GB SSD,"15.6""",
882.6,HP Pavilion 15-CX0005NS,Intel Core i7-8750H,274,8 GB,256GB SSD,"15.6""",GTX 1050
499.0,Acer Aspire 3 A317-51K-30Z9,Intel Core i3-7020U,1167,8 GB,256GB SSD,"17.3""",
1310.17,Apple MacBook Pro,Intel Core i5 1.4GHz,"[[350, 'Intel Core i5-9400H'], [348, 'Intel Core i5-8400H']]",8 GB,128GB SSD,"13.3"" Gris Espacial",
1099.99,Lenovo Legion Y540-17IRH,Intel Core i7-9750H,229,16 GB,1TB+256GB SSD,"17.3""",GTX1650
900.0,MSI Alpha 15 A3DDK-001XES,AMD Ryzen 7 3750H,351,16 GB,512GB SSD,"15.6"" Reacondicionado",RX 5500M
579.0,Acer Aspire 3 A315-42-R7EN,AMD Ryzen 7 3700U,436,8 GB,256GB SSD,"15.6""",
439.0,Lenovo Ideapad 330-15ARR,AMD Ryzen 3 2200U,941,4 GB,128GB SSD,"15.6""",
1999.0,MSI P75 Creator 9SE-1211ES,Intel Core i7-9750H,229,32 GB,1TB SSD,"17.3""",RTX 2060
303.25,Toshiba Satellite Pro R50-C-1FT,Intel Celeron 3855U,1704,4 GB,500GB,"15.6""",
1849.0,MSI Creator 17M A9SE-042ES,Intel Core i7-9750H,229,32 GB,1TB SSD,"17.3""",RTX 2060
999.0,Lenovo Legion Y540-15IRH,Intel Core i7-9750H,229,8 GB,512GB SSD,"15.6""",GTX1650
1499.0,MSI GF75 Thin 10SDR-088ES,Intel Core i7-10750H,126,16 GB,1TB SSD,"17.3""",GTX1660Ti
1249.0,Lenovo Legion Y540-15IRH,Intel Core i7-9750H,229,16 GB,1TB+256 GB SSD,"15.6""",GTX1660Ti
499.0,Asus VivoBook S512FA-BR1580T,Intel Core i3-8145U,912,8 GB,256GB SSD,"15.6""",
1299.0,Lenovo Legion Y540-15IRH,Intel Core i7-9750H,229,16 GB,1TB+512GB SSD,"15.6""",GTX1660Ti
1089.0,Microsoft Surface Laptop 3,Intel Core i5-1035G7,328,8 GB,128GB SSD,"13.5"" Táctil Platino",
889.0,LG Gram 14Z990-G,Intel Core i5-8265U,548,8 GB,256GB SSD,"14""",
808.9,Dell Vostro 5590,Intel Core i5-10210U,513,8 GB,256GB SSD,"15.6""",
1399.0,MSI GS75 Stealth 9SD-1039XES,Intel Core i7-9750H,229,16 GB,1TB SSD,"17.3""",GTX 1660Ti
1999.0,MSI GE65 Raider 9SF-003ES,Intel Core i7-9750H,229,32 GB,1TB SSD,"15.6""",RTX 2070
649.0,Lenovo Ideapad 330S-15IKB,Intel Core i7-8550U,590,8 GB,256GB SSD,"15.6""",
601.37,HP NoteBook 17-BY0004NS,Intel Core i3-7020U,1167,8 GB,1TB,"17.3""",R520
889.0,Toshiba Satellite Pro A50-E-1CH,Intel Core i7-8550U,590,16 GB,256GB SSD,"15.6""",
1389.0,Apple MacBook Pro,Intel Core i5 1.4GHz,"[[350, 'Intel Core i5-9400H'], [348, 'Intel Core i5-8400H']]",8 GB,128GB SSD,"13.3"" Plata",
528.59,Acer Aspire 5 A514-52-59K8,Intel Core i5-10210U,513,8 GB,256GB SSD,"14""",
1428.4,Apple MacBook Pro,Intel Core i5 1.4GHz,"[[350, 'Intel Core i5-9400H'], [348, 'Intel Core i5-8400H']]",8 GB,256GB SSD,"13.3"" Gris Espacial",
699.0,Asus Zenbook 14 UM431DA-AM022,AMD Ryzen 7 3700U,436,16 GB,512GB SSD,"14""",
1545.0,Lenovo Legion Y540-15IRH,Intel Core i7-9750H,229,16 GB,1 TB+512GB SSD,"15.6""",RTX 2060
1849.0,MSI P75 Creator 9SD-1212ES,Intel Core i7-9750H,229,32 GB,1TB SSD,"17.3""",GTX 1660Ti
839.0,Dynabook Satellite Pro L50-G-129,Intel Core i5-10210U,513,8 GB,512GB SSD,"15.6""",
838.59,Lenovo Ideapad 330-15ICH,Intel Core i5-8300H,414,8 GB,1TB+128GB SSD,"15.6""",GTX1050
456.59,HP 15-DA0261NS,Intel Core i3-7020U,1167,8 GB,256GB SSD,"15.6""",
1599.0,Asus Rog Strix Scar III G731GW-EV061,Intel Core i7-9750H,229,16 GB,512GB SSD,"17.3""",RTX2070
338.99,Acer Chromebook 315,Intel Celeron N4020,1407,4 GB,64GB eMMC,"15.6""",
1199.0,Apple MacBook Air,Intel Core i3,"[[1078, 'Intel Core i7-930'], [1479, 'Intel Core i3-560']]",8 GB,256GB SSD,"13.3"" Plata",
683.39,Dell Vostro 3590,Intel Core i5-10210U,513,8 GB,1TB,"15.6""",
721.6,HP 15-DA2015NS,Intel i7-10510U,"[[438, 'Intel Core i7-10510U'], [267, 'Intel Core i7-10710U']]",8 GB,256GB SSD,"15.6""",MX130
503.59,HP 15-DW0052NS,Intel Core i3-8130U,904,8 GB,512GB SSD,"15.6""",
1599.0,HP OMEN 17-CB0004NS,Intel Core i7-9750H,229,16 GB,1TB+512GB SSD,"17.3""",RTX 2060
1599.0,MSI GL65 Leopard 10SEK-241XES,Intel Core i7-10750H,126,32 GB,1TB SSD,"15.6""",RTX 2060
410.59,Asus X509UA-BR112T,Intel Core i3-7200U,"[[991, 'Intel Core i5-7200U'], [1109, 'Intel Core i3-7100U']]",4 GB,256GB SSD,"15.6""",
1899.0,MSI GP65 Leopard 10SFK-240XES,Intel Core i7-10750H,126,32 GB,1TB SSD,"15.6""",RTX 2070
1199.0,Acer Predator Helios 300 PH315-52-79H8,Intel Core i7-9750H,229,16 GB,1TB SSD,"15.6"" Reacondicionado",RTX 2060
1084.28,MSI GF63 Thin 9SC-651XES,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",GTX 1650
699.0,Lenovo Ideapad S340-14API,AMD Ryzen 7 3700U,436,8 GB,512GB SSD,"14""",
295.81,HP Chromebook 11 EE,Intel Celeron N4000,1531,4 GB,32GB eMMC,"11.6""",
589.0,Lenovo Ideapad 330-15ARR,AMD Ryzen 7 2700U,550,8 GB,1TB,"15.6""",
699.0,Lenovo IdeaPad C340-14IML,Intel Core i3-10110U,828,8 GB,512GB SSD,"14""",
1272.59,Toshiba Portégé Z30-E-12L,Intel Core i7-8550U,590,16 GB,512GB SSD,"13.3""",
1199.0,HP OMEN 15-DH0015NS,Intel Core i7-9750H,229,32 GB,512GB SSD,"15.6""",GTX 1660Ti
688.3,HP 15-DA1070NS,Intel Core i7-8565U,508,8 GB,1TB,"15.6""",
699.0,HP 15S-FQ1039NS,Intel Core i7-1065G7,312,8 GB,256GB SSD,"15.6""",
1499.0,Acer Predator Helios 300,Intel Core i7-9750H,229,16 GB,1TB SSD,"17.3""",RTX 2060
1149.0,MSI GF63 Thin 10SCXR-405XES,Intel Core i7-10750H,126,16 GB,512GB SSD,"15.6""",GTX 1650
1399.0,MSI Modern 14 A10RAS-1049XES,Intel Core I7-10510U,"[[438, 'Intel Core i7-10510U'], [267, 'Intel Core i7-10710U']]",32 GB,1TB SSD,"14""",MX330
319.91,Acer Extensa 15 EX215-31-C5FQ,Intel Celeron N4000,1531,4 GB,256GB SSD,"15.6""",
1599.0,MSI Prestige 15 A10SC-060XES,Intel Core i7-10710U,267,16 GB,1TB SSD,"15.6""",GTX 1650
218.99,Primux ioxbook 1402MC,Intel Celeron N3350,1663,4 GB,32GB,"14.1"" + Minecraft",
1349.0,Lenovo Legion Y540-17IRH,Intel Core i7-9750H,229,16 GB,1TB+512GB SSD,"17.3""",GTX1660Ti
529.0,Lenovo Ideapad S145-15IWL,Intel Core i3-8145,"[[912, 'Intel Core i3-8145U'], [567, 'Intel Core i3-8100']]",8 GB,512GB SSD,"15.6""",
999.0,Lenovo Yoga 530-14IKB,Intel Core i5-8250U,572,8 GB,512GB SSD,"14"" Táctil",
676.99,Medion P6645,Intel Core i7-8565U,508,8 GB SSD 8GB,1TB+128SSD,"15.6""",MX150
279.0,Lenovo Ideapad S130-14IGM,Intel Celeron N4000,1531,4 GB,64GB eMMC,"14""",
1499.0,Acer Predator Helios 300 PH315-52-79H8,Intel Core i7-9750H,229,16 GB,1TB SSD,"15.6""",RTX 2060
415.6,Lenovo V130-15IKB,Intel Core i3-7020U,1167,4 GB,256GB SSD,"15.6""",
699.0,Asus VivoBook Flip 14 TP412FA-EC015T,Intel Core i5-8265U,548,8 GB,256GB SSD,"14"" Táctil",
789.0,Acer Swift 3 SF314-57-5217,Intel Core i5-1035G1,396,8 GB,512GB SSD,"14""",
604.89,Asus X409JA-BV066T,Intel Core i5-1035G1,396,8 GB,256GB SSD,"14""",
1399.0,MSI GL75 9SEK-074XES,Intel Core i7-9750H,229,16 GB,1TB SSD,"17.3""",RTX 2060
949.0,Apple MacBook,Intel Core M3,"[[1356, 'Intel Core M-5Y31'], [1078, 'Intel Core i7-930']]",8 GB,256GB,"12"" Plateado",
369.0,Acer Chromebook 314,Intel Celeron N4020,1407,4 GB,64GB eMMC,"14""",
1199.0,MSI GF63 Thin 10SCXR-042XES,Intel Core i7-10750H,126,16 GB,1TB SSD,"15.6""",GTX 1650
449.99,Acer Chromebook 315,Intel Pentium N5030,"[[1627, 'Intel Pentium N3530'], [1995, 'Intel Pentium U5600']]",8 GB,128GB eMMC,"15.6""",
979.0,HP Pavilion x360 14-DH1018NS,Intel Core i7-10510U,438,8 GB,512GB SSD,"14"" Táctil",MX250
1199.0,HP Omen 15-DC1016NS,Intel Core i7-9750H,229,16 GB,1TB SSD,"15.6""",GTX 1650
999.0,Lenovo Legion Y540-15IRH,Intel Core i7-9750H,229,16 GB,1TB+256GB SSD,"15.6""",GTX1650
999.0,HP OMEN 15-DC1039NS,Intel Core i7-9750H,229,8 GB,1TB SSD,"15.6""",GTX 1650
574.59,HP 15-DA1034NS,Intel Core i5-8265U,548,8 GB,256GB SSD,"15.6""",
1649.0,MSI GL65 Leopard 10SEK-031ES,Intel Core i7-10750H,126,16 GB,1TB SSD,"15.6""",RTX 2060
1499.0,MSI GL75 Leopard 10SDK-041XES,Intel Core i7-10750H,126,16 GB,1TB SSD,"17.3""",GTX 1660Ti
729.9,Acer Aspire 5 A515-54-75EB,Intel Core i7-10510U,438,8 GB,512GB SSD,"15.6""",
799.0,Acer Aspire 5 A514-52-713B,Intel Core i7-10510U,438,8 GB,512GB SSD,"14""",
1699.0,MSI GL75 Leopard 10SEK-039ES,Intel Core i7-10750H,126,16 GB,1TB SSD,"17.3""",RTX 2060
2389.0,Asus Rog Zephyrus S GX701GXR-H6097T,Intel Core i7-9750H,229,32 GB,1TB SSD,"17.3""",RTX2080
281.51,Asus X507MA-BR418,Intel Celeron N4000,1531,4 GB,256GB SSD,"15.6""",
1739.0,MSI GP65 Leopard 10SEK-029ES,Intel Core i7-10750H,126,16 GB,1TB SSD,"15.6""",RTX 2060
1399.0,Lenovo Legion Y540-17IRH,Intel Core i7-9750H,229,16 GB,1TB+512GB SSD,"17.3""",GTX1660Ti
1399.0,MSI GP75 Leopard 9SD-451XES,Intel Core i7-9750H,229,16 GB,1TB SSD,"17.3""",GTX 1660Ti
679.0,Lenovo Ideapad S530-13IWL,Intel Core i5-8265U,548,8 GB,256GB SSD,"13.3""",MX150
3689.0,MSI GE75 Raider 10SGS-082ES,Intel Core i9-10980HK,112,64 GB,2TB SSD,"17.3""",RTX 2080 SUPER
699.0,Lenovo Ideapad S540-14IWL,Intel Core i5-8265U,548,12 GB,512GB SSD,"14""",
1739.0,MSI Prestige 14 A10SC-048ES,Intel Core i7-10710U,267,16 GB,1TB SSD,"14"" UHD",GTX 1650
711.55,Lenovo Ideapad S540-14IWL,Intel Core i7-8565,"[[508, 'Intel Core i7-8565U'], [512, 'Intel Core i7-8665U']]",12 GB,512GB SSD,"14"" Reacondicionado",
1499.0,Lenovo Legion Y540-17IRH,Intel Core i7-9750H,229,16 GB,1TB+256GB SSD,"17.3""",RTX 2060
679.0,Lenovo Ideapad S340-15IWL,Intel Core i7-8565U,508,8 GB,256GB SSD,"15.6""",
917.48,Asus VivoBook 14 S412FA-EK485T,Intel Core i7-8565U,508,8 GB,512GB SSD,"14""",
2499.0,Gigabyte AERO 17 HDR XA-7ES4130SQ,Intel Core i7-9750H,229,16 GB,512GB SSD,"17.3""",RTX 2070
1699.0,MSI Creator 17M A9SD-043ES,Intel Core i7-9750H,229,32 GB,1TB SSD,"17.3""",GTX 1660Ti
549.0,HP NoteBook 15-DB1024NS,AMD Ryzen 5 3500U,454,8 GB,512GB SSD,"15.6""",
397.59,Dell Vostro 3581,Intel Core i3-7020U,1167,4 GB,1TB,"15.6""",Radeon 520
329.0,Acer Chromebook 314,Intel Celeron N4020,1407,4 GB,32GB eMMC,"14""",
329.0,Acer Chromebook 315,Intel Celeron N4020,1407,4 GB,32GB eMMC,"15.6""",
1199.0,HP Pavilion 15-CS3000NS,Intel Core i7-1065G7,312,12 GB,512GB SSD,"15.6""",GTX 1050
1699.0,Asus Rog Zephyrus S GX701GVR-EV002T,Intel Core i7-9750H,229,16 GB,1TB SSD,"17.3""",RTX2060
289.0,Thomson NEOY,Intel Celeron,"[[2105, 'Intel Celeron 925'], [2136, 'Intel Celeron 900']]",4 GB,64GB eMMC,"12.5""",
1249.0,MSI GP63 Leopard 8RE-684XES,Intel Core i7-8750H,274,16 GB,1TB SSD,"15.6""",GTX 1060
1953.59,Apple MacBook Pro,Intel Core i5 2.4GHz,"[[903, 'Intel Core i5-2400'], [350, 'Intel Core i5-9400H']]",8 GB,512GB SSD,"13.3"" Plata",
448.6,Dell Vostro 3581,Intel Core i3-7020U,1167,4 GB,1TB,"15.6""",
699.0,Lenovo Ideapad S145-15IWL,Intel Core i7-8565U,508,8 GB,256GB SSD,"15.6"" Gris Platino",
770.59,HP Pavilion Laptop 14-CE3008NS,Intel Core i5-1035G1,396,8 GB,512GB SSD,"14""",MX130
2249.0,MSI GS66 Stealth 10SF-050ES,Intel Core i7-10750H,126,32 GB,1TB SSD,"15.6""",RTX 2070
564.39,Lenovo Ideapad S145-15IWL,Intel Core i5-8265U,548,8 GB,512GB SSD,"15.6"" Reacondicionado",
1475.88,Dell XPS 7390,Intel Core i7-10510U,438,16 GB,512GB SSD,"13.3""",
422.01,HP 15-DA0183NS,Intel Core i3-7020U,1167,4 GB,1TB,"15.6""",
479.0,Lenovo Ideapad S145-15IWL,Intel Core i3-8145,"[[912, 'Intel Core i3-8145U'], [567, 'Intel Core i3-8100']]",8 GB,128GB SSD,"15.6""",
371.48,Medion Akoya E4251 MD 61202,Intel Celeron N4000,1531,4 GB,64GB,"14""",
2449.0,MSI GS75 Stealth 9SF-1040ES,Intel Core i7-9750H,229,32 GB,1TB SSD,"17.3""",RTX 2070 Max-Q
1299.0,MSI Prestige 14 A10RB-020ES,Intel Core i7-10510U,438,16 GB,1TB SSD,"14""",MX 250
3099.0,MSI GE75 Raider 10SF-083ES,Intel Core i9-10980HK,112,64 GB,2TB SSD,"17.3""",RTX 2070 SUPER
442.42,HP 15-DA0247NS,Intel Core i3-7020U,1167,8 GB,256GB SSD,"15.6""",
1851.59,Microsoft Surface Laptop 3 Negro,Intel Core i7-1065G7,312,16 GB,256GB SSD,"15"" Táctil",
1139.06,Lenovo Legion Y540-15IRH,Intel Core i7-9750H,229,16 GB,1TB+256GB SSD,"15.6"" Reacondicionado",GTX1660Ti
2349.0,MSI WS65 9TK-817ES,Intel Core i7-9750H,229,32 GB,1TB SSD,"15.6""",RTX3000
1299.0,Apple MacBook,Intel Core M3,"[[1356, 'Intel Core M-5Y31'], [1078, 'Intel Core i7-930']]",8 GB,256GB,"12"" Gris Espacial",
3489.0,MSI P65 Creator 9SF-1017ES,Intel Core i9-9880H,172,64 GB,2TB SSD,"15.6""",RTX 2070
1499.0,Asus Rog Zephyrus M GU502GU-ES133,Intel Core i7-9750H,229,32 GB,1TB SSD,"15.6""",GTX1660Ti
527.6,HP 15-DA0232NS,Intel Core i3 7020U,"[[1167, 'Intel Core i3-7020U'], [1109, 'Intel Core i3-7100U']]",12 GB,256GB SSD,"15.6""",
1049.95,Gigabyte Aorus 15-SA-7ES0250D,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6"" Reacondicionado",GTX 1660Ti
1546.63,MSI Prestige 14 A10SC-012ES,Intel Core i7-10710U,267,16 GB,1TB SSD,"14""",GTX 1650
1499.0,Asus Rog Strix G531GW-AL137,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",RTX2070
899.99,Microsoft Surface Pro 7,Intel Core i5-1035G4,341,8 GB,128GB SSD,"12.3"" Táctil Platino",
2349.0,Gigabyte AERO 15 OLED WB-8ES5130SD,Intel Core i7-10875H,31,16 GB,512GB SSD,"15.6""",RTX 2070
1599.0,HP Omen 15-DH0018NS,Intel Core i7-9750H,229,16 GB,1TB SSD,"15.6""",RTX 2060
315.81,HP Chromebook 11 EE,Intel Celeron N4000,1531,4 GB,32GB eMMC,"11.6"" Táctil",
559.59,HP 15-DA0034NS,Intel Core i3-7020U,1167,8 GB,256GB SSD,"15.6""",MX110
624.74,Medion P6685,Intel Core i7-8550U,590,8 GB,1TB+128GB SSD,"15.6""",MX150
1399.0,MSI GF75 Thin 10SCSR-033XES,Intel Core i7-10750H,126,16 GB,1TB+512GB SSD,"17.3""",GTX1650Ti
3757.43,MSI P65 Creator 9SF-456ES,Intel Core i9-9880H,172,32 GB,1TB SSD,"15.6""",RTX 2070
425.25,Medion Akoya S6445,Intel Core i5-8265U,548,4 GB,128 GB SSD,"15.6""",
595.38,HP 15-DA0231NS,Intel Core i3 7020U,"[[1167, 'Intel Core i3-7020U'], [1109, 'Intel Core i3-7100U']]",8 GB,1TB+256SSD,"15.6""",
1099.99,MSI GS63 Stealth 8RD-062XES,Intel Core i7-8750H,274,16 GB,512SSD,"15.6""",GTX1050Ti
2398.99,MSI P65 Creator 9SE-407ES,Intel Core i7-9750H,229,32 GB,1TB SSD,"15.6""",RTX 2060
1272.59,Microsoft Surface Pro 7,Intel Core i5-1035G4,341,8 GB,256 GB Platino,,
3689.0,MSI P75 Creator 9SF-670ES,Intel Core i9-9880H,172,64 GB,2TB SSD,"17.3""",RTX 2070
1649.0,MSI Creator 15M A9SD-077ES,Intel Core i7-9750H,229,32 GB,1TB SSD,"15.6""",GTX 1660Ti
1399.0,LG Gram 15Z990-V.AA78B,Intel Core i7-8565U,508,16 GB,512GB SSD,"15.6""",
679.0,Asus VivoBook 14 S412FJ-EK264T,Intel Core i5-8265U,548,8 GB,256GB SSD,"14""",MX230
357.33,HP Notebook 15-DA0177NS,Intel Celeron N4000,1531,8 GB,1TB,"15.6""",
2439.0,MSI GE75 Raider 9SG-1203XES,Intel Core i7-9750H,229,32 GB,1TB SSD,"17.3""",RTX 2080
1199.0,HP OMEN 15-DC1022NS,Intel Core i7-9750H,229,16 GB,1TB+256GB SSD,"15.6""",GTX 1650
1295.09,Asus Rog Strix G531GV-AL172,Intel Core i7-9750H,229,16 GB,1TB SSD,"15.6"" Reacondicionado",RTX2060
2648.99,Asus ROG Zephyrus S GX531GXR-AZ063T,Intel Core i7-9750H,229,24 GB,1TB SSD,"15.6""",RTX2080
2449.0,MSI GE63 Raider RGB 9SG-626ES,Intel Core i7-9750H,229,32 GB,1TB SSD,"15.6""",RTX 2080
1299.0,LG Gram 14T990-G,Intel Core i7-8565U,508,8 GB,512GB SSD,"14"" Táctil",
1149.0,LG Gram 14Z90N,Intel Core i5-1035G7,328,8 GB,256GB SSD,"14""",
999.0,Huawei MateBook X,Intel Core i5-7200U,991,8 GB,256GB SSD,"13"" Reacondicionado",
855.59,Dell Vostro 5391,Intel Core i5-10210U,513,8 GB,256GB SSD,"13.3""",
1399.0,HP Omen 17-CB0000NS,Intel Core i7-9750H,229,16 GB,1TB SSD,"17.3""",GTX 1660
503.36,Lenovo V14,Intel Core i3-1005G1,698,8 GB,512GB SSD,"14""",
889.0,Toshiba Tecra A50-EC-11R,Intel Core i5-8250U,572,8 GB,256GB SSD,"15.6""",
479.76,HP 15-DA0192NS,Intel Core i3 7020U,"[[1167, 'Intel Core i3-7020U'], [1109, 'Intel Core i3-7100U']]",4 GB,128GB SSD,"15.6""",
442.59,HP 250 G7,Intel Core i3-7020U,1167,8 GB,128GB SSD,"15.6""",
3199.0,MSI GS66 Stealth 10SFS-220ES,Intel Core i9-10980HK,112,64 GB,2TB SSD,"15.6""",RTX 2070 SUPER
709.19,Asus VivoBook S14 S433FL-EB008T,Intel Core i5-10210U,513,8 GB,512GB SSD,"14"" Reacondicionado",MX250
1699.0,HP OMEN 15-DC1001NS,Intel Core i7-8750H,274,16 GB,1TB+256GB SSD,"15.6""",RTX 2070
1582.49,Asus Rog Strix G531GV-AL364,Intel Core i7-9750H,229,32 GB,1TB SSD,"15.6"" Reacondicionado",RTX 2060
896.99,Lenovo ThinkPad L590,Intel Core i5-8265U,548,8 GB,256GB SSD,"15.6""",
470.24,HP Notebook 14S-DQ1005NS,Intel Core i5-1035G1,396,8 GB,512GB SSD,"14"" Reacondicionado",
999.0,HP OMEN 15-DC0005NS,Intel Core i7-8750H,274,8 GB,1TB,"15.6""",GTX 1050
1149.0,Microsoft Surface Pro 7,Intel Core i5-1035G4,341,8 GB,128GB Platino,,
699.0,Acer Swift 3 SF314-52G-50B3 ,Intel Core i5-8250U,572,25 6GB SSD,MX150,"14""",
1851.59,Dell XPS 15 7590,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",GTX 1650
299.39,Lenovo V130-15IGM,Intel Celeron N4000,1531,8 GB,256GB SSD,"15.6"" Reacondicionado",
1349.0,Microsoft Surface Book 2,Intel Core i5-8350U,514,8 GB,256GB,"13.5"" Táctil",
3749.0,MSI GS66 Stealth 10SFS-219ES,Intel Core i9-10980HK,112,64 GB,2TB SSD,"15.6""",RTX 2080 SUPER
1349.0,HP Omen 15-DC1020NS,Intel Core i7-9750H,229,16 GB,1TB SSD,"15.6""",GTX 1660
1319.0,MSI GF63 Thin 10SCSR-205ES,Intel Core i7-10750H,126,16 GB,1TB SSD,"15.6""",GTX 1650Ti
2297.59,Microsoft Surface Laptop 3 Platino,Intel Core i7-1065G7,312,16 GB,512GB SSD,"15"" Táctil",
1035.94,Asus TUF Gaming FX505DV-AL014,AMD Ryzen 7 3750H,351,16 GB,512GB SSD,"15.6"" Reacondicionado",RTX 2060
499.0,Lenovo Ideapad 330-15IKBR,Intel Core i5-8250U,572,8 GB,256GB SSD,"15.6""",
3299.0,MSI GT76 Titan DT 9SG-026ES,Intel Core i7-9750H,229,64 GB,2TB SSD,"17.3""",RTX 2080
879.0,Asus VivoBook S14 S432FL-EB036T,Intel Core i5-8265U,548,8 GB,256GB SSD,"14""",MX250
1349.0,HP OMEN 15-DC1032NS,Intel Core i7-9750H,229,32 GB,1TB+512GB SSD,"15.6""",GTX 1650
1749.59,Dell Precision 3541,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",NVIDIA Quadro P620
999.0,Asus Zenbook 14 UX431FA-AM021T,Intel Core i7-8565U,508,8 GB,256GB SSD,"14""",
1199.0,LG Gram 15Z90N-V,Intel Core i5-1035G7,328,8 GB,256GB SSD,"15.6""",
3199.0,MSI WS65 9TL-816ES,Intel Core i7-9750H,229,32 GB,1TB SSD,"15.6""",RTX4000
1199.0,Acer Nitro 5 AN515-54-71AU,Intel Core i7-9750H,229,16 GB,1TB SSD,"15.6""",GTX1660Ti
959.05,Gigabyte Aorus 5,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6"" Reacondicionado",GTX 1650
1299.01,Lenovo Legion Y540-15IRH,Intel Core i7-9750H,229,16 GB,1TB+256GB SSD,"15.6"" Reacondicionado",RTX2060
889.0,HP 14-CE3009NS,Intel Core i5-1035G1,396,16 GB,1TB SSD,"14""",MX130
1879.0,Microsoft Surface Pro 7,Intel Core i7-1065G7,312,16 GB,512 GB Platino,,
1799.0,MSI GP75 Leopard 10SEK-018ES,Intel Core i7-10750H,126,16 GB,1TB SSD,"17.3""",RTX 2060
729.0,Asus VivoBook S15 S532FA-BN040T,Intel Core i5-8265U,548,8 GB,256GB SSD,"15.6""",
374.59,Acer Aspire 3 A315-34-C8LJ,Intel Celeron N4000,1531,8 GB,256GB SSD,"15.6""",
1652.59,Microsoft Surface Pro 7,Intel Core i7-1065G7,312,16 GB,256 GB Negra,,
269.0,Thomson NEOx,Intel Celeron,"[[2105, 'Intel Celeron 925'], [2136, 'Intel Celeron 900']]",4 GB,64GB eMMC,"14.1""",
229.0,Lenovo V130-15IGM,Intel Celeron N4100,1163,4 GB,256GB SSD,"15.6""",
666.29,HP 15-DA0167NS,Intel Core i3-7020U,1167,16 GB,256GB SSD,"15.6""",
1249.0,Microsoft Surface Laptop 2,Intel Core i7-8650U,510,8 GB,256GB SSD,"13.5"" Táctil",
2149.0,MSI WS75 9TJ-004ES,Intel Core i7-9750,"[[229, 'Intel Core i7-9750H'], [950, 'Intel Core i7-975']]",32 GB,1TB SSD,"17.3""",T2000
215.99,Lenovo Ideapad 330-15AST,AMD A6-9225,1557,4 GB,128GB SSD,"15.6"" Reacondicionado",
561.24,Lenovo Ideapad 330-15IKB,Intel Core i5-8250U,572,8 GB,256GB SSD,"15.6""",
4699.0,Gigabyte AERO 17 HDR YB-9ES4750SP,Intel Core i9-10980HK,112,64 GB,1TB SSD,"17.3""",RTX 2080 SUPER
824.19,Lenovo Ideapad 330-15ICH,Intel Core i7-8750H,274,8 GB,1TB,"15.6"" Reacondicionado",GTX 1050
799.0,Lenovo Ideapad 330-15IKBR,Intel Core i7-8550U,590,8 GB,512GB SSD,"15.6""",
1324.99,Apple MacBook Pro,Intel Core i5,"[[950, 'Intel Core i7-975'], [997, 'Intel Core i7-965']]",8 GB,128GB,"13"" Plateado",
2099.0,MSI GS66 Stealth 10SE-051ES,Intel Core i7-10750H,126,32 GB,1TB SSD,"15.6""",RTX 2060
1295.04,Lenovo Legion Y540-15IRH,Intel Core i7-9750H,229,16 GB,1TB+512 GB SSD,"15.6"" Reacondicionado",GTX 1660Ti
913.29,Asus TUF Gaming FX505GT-BQ024,Intel Core i7-9750H,229,16 GB,1TB+256GB SSD,"15.6"" Reacondicionado",GTX 1650
